"","X12","X13","X4"
"2","3913","3102","1"
"3","2682","1725","2"
"4","29239","14027","2"
"5","46990","48233","1"
"6","8617","5670","1"
"7","64400","57069","2"
"8","11876","380","2"
"9","11285","14096","1"
"10","11073","9787","2"
"11","12261","21670","2"
"12","12137","6500","2"
"13","65802","67369","2"
"14","70887","67060","2"
"15","50614","29173","3"
"16","15376","18010","2"
"17","253286","246536","1"
"18","38358","27688","2"
"19","316","316","1"
"20","41087","42445","2"
"21","5512","19420","1"
"22","4744","7070","2"
"23","47620","41810","2"
"24","22541","16138","2"
"25","650","3415","1"
"26","15329","16575","2"
"27","16646","17265","2"
"28","30518","29618","2"
"29","93036","84071","2"
"30","10929","4152","1"
"31","13709","5006","1"
"32","15054","9806","2"
"33","498","9075","2"
"34","67521","66999","2"
"35","1877","3184","2"
"36","59504","61544","1"
"37","18927","21295","2"
"38","14028","16484","2"
"39","4463","3034","2"
"40","22401","21540","2"
"41","17447","18479","2"
"42","37042","36171","2"
"43","61559","51163","3"
"44","13465","7867","1"
"45","41402","41742","2"
"46","46224","34993","2"
"47","1905","3640","1"
"48","16386","15793","1"
"49","1587","1098","2"
"50","22848","23638","1"
"51","70800","72060","1"
"52","24987","24300","2"
"53","28718","29166","1"
"54","2097","4193","1"
"55","300","300","2"
"56","18565","17204","2"
"57","58267","59246","2"
"58","9076","5787","1"
"59","3048","5550","2"
"60","14619","17216","2"
"61","42838","37225","2"
"62","291","291","1"
"63","28387","29612","2"
"64","23411","27796","2"
"65","26324","27471","2"
"66","131595","139060","1"
"67","48909","47863","2"
"68","130028","107808","2"
"69","390","1170","1"
"70","3826","4751","2"
"71","81313","117866","1"
"72","8583","8303","2"
"73","138180","140774","1"
"74","880","1602","1"
"75","45648","46850","2"
"76","83725","85996","2"
"77","3967","8322","1"
"78","86009","86108","2"
"79","18722","18160","1"
"80","17973","19367","1"
"81","672","10212","2"
"82","422069","431342","1"
"83","44698","42254","2"
"84","56685","55208","2"
"85","6108","2861","1"
"86","713","2272","2"
"87","171438","178382","2"
"88","105879","108431","1"
"89","13244","14722","1"
"90","135673","138532","1"
"91","52128","52692","2"
"92","19015","19294","2"
"93","18199","17618","2"
"94","326","326","2"
"95","14029","15493","2"
"96","19660","9666","1"
"97","50254","51445","2"
"98","46004","45976","2"
"99","19115","18962","2"
"100","110151","99530","2"
"101","3347","3899","1"
"102","60521","61450","1"
"103","4000","5645","2"
"104","95","2622","2"
"105","28452","26145","2"
"106","10674","12035","1"
"107","17444","19342","2"
"108","7166","7997","1"
"109","752","300","1"
"110","50801","50143","2"
"111","10131","10833","2"
"112","12159","10000","2"
"113","1199","15586","2"
"114","4999","5913","2"
"115","19269","20313","2"
"116","9168","10522","1"
"117","86627","78142","1"
"118","42444","55744","2"
"119","208","2906","2"
"120","9014","10406","2"
"121","23944","28049","1"
"122","12854","12362","1"
"123","24357","27453","2"
"124","390","390","2"
"125","1234","396","1"
"126","141223","156858","1"
"127","21148","23803","1"
"128","101640","104795","2"
"129","6093","15130","2"
"130","102349","96847","1"
"131","72112","73854","1"
"132","28040","29092","2"
"133","37695","33397","2"
"134","688","3280","2"
"135","8567","15273","2"
"136","64617","65978","1"
"137","6187","100","2"
"138","48860","47801","2"
"139","16001","12622","2"
"140","77883","81811","1"
"141","12212","26578","2"
"142","49608","12412","2"
"143","56422","110616","1"
"144","58024","57891","1"
"145","10642","11677","2"
"146","14483","13961","1"
"147","2616","57077","2"
"148","21703","21087","2"
"149","59901","62147","2"
"150","19625","20347","2"
"151","11386","199","2"
"152","14670","22087","2"
"153","47790","18114","1"
"154","36166","37188","2"
"155","18553","19446","2"
"156","412","138","1"
"157","27123","27299","2"
"158","13424","18000","2"
"159","107314","110578","2"
"160","227","20351","1"
"161","390","1473","1"
"162","3088","1586","1"
"163","81625","81554","2"
"164","8872","4337","1"
"165","105607","108917","2"
"166","38257","38901","1"
"167","28347","28108","2"
"168","390","390","1"
"169","79278","78501","2"
"170","89989","84229",NA
"171","1424","4542","2"
"172","91653","94037","2"
"173","52626","51537","2"
"174","130370","131199","2"
"175","3265","2686","1"
"176","16455","16511","1"
"177","49758","48456","2"
"178","19154","18165","2"
"179","35084","35796","2"
"180","20235","17132","2"
"181","129801","131383","2"
"182","58203","36367","1"
"183","7988","3977","2"
"184","127402","110050","2"
"185","234205","231669","1"
"186","19346","21708","3"
"187","21501","20650","2"
"188","47174","47974","2"
"189","26655","27724","2"
"190","3139","5853","2"
"191","142","215","2"
"192","19816","20396","2"
"193","52874","1631","1"
"194","37767","34457","2"
"195","46140","45781","2"
"196","35713","15392","1"
"197","50867","51486","2"
"198","29242","29507","2"
"199","101551","105246","2"
"200","70243","47779","2"
"201","19532","3719","2"
"202","27699","28513","1"
"203","1154","1233","1"
"204","8015","2453","1"
"205","210380","213522","1"
"206","78331","99414","2"
"207","49276","35100","2"
"208","4473","4664","1"
"209","2283","50815","2"
"210","10115","249","2"
"211","6974","7838","2"
"212","89003","91362","2"
"213","34871","34449","2"
"214","13694","14880","2"
"215","70003","31545","2"
"216","1082","632","1"
"217","11253","12852","2"
"218","68699","69120","2"
"219","171","2715","1"
"220","1156","316","2"
"221","50859","50462","1"
"222","103109","102594","1"
"223","1512","2458","2"
"224","127543","109189","1"
"225","163935","153152","2"
"226","53494","52656","2"
"227","110346","41986","1"
"228","60502","62804","2"
"229","180641","181557","1"
"230","70896","71678","2"
"231","8751","9900","1"
"232","898","898","2"
"233","1700","2610","1"
"234","7015","10227","2"
"235","194353","197344","2"
"236","1686","657","1"
"237","143225","142996","1"
"238","58983","60788","1"
"239","49941","51213","1"
"240","11968","14564","2"
"241","871","665","2"
"242","432","3220","2"
"243","10483","23956","1"
"244","9720","10613","1"
"245","20847","13801","2"
"246","3697","3600","1"
"247","143301","146333","1"
"248","10934","13738","2"
"249","52439","51040","1"
"250","55734","52557","2"
"251","49507","33282","2"
"252","47819","48947","2"
"253","48522","50955","1"
"254","58362","56598","2"
"255","172180","180140","2"
"256","1399","2441","2"
"257","26361","18826","1"
"258","93029","94054","2"
"259","650","650","1"
"260","24898","27976","1"
"261","50396","44665","1"
"262","9559","12394","2"
"263","10540","10232","2"
"264","20571","19089","2"
"265","143464","146943","2"
"266","156882","160246","2"
"267","46512","47716","1"
"268","882","6531","2"
"269","92","92","2"
"270","5916","6172","2"
"271","2393","183","2"
"272","274731","281713","1"
"273","145403","138232","2"
"274","1370","4192","2"
"275","47081","49316","2"
"276","138119","137950","2"
"277","17893","19012","2"
"278","39128","20473","2"
"279","77057","78102","2"
"280","15899","18720","1"
"281","27679","28422","1"
"282","141315","128940","2"
"283","194314","179206","2"
"284","83755","77431","2"
"285","49657","291","1"
"286","71305","71151","2"
"287","45734","44741","2"
"288","761","300","2"
"289","47166","49396","1"
"290","2887","1923","2"
"291","20631","20010","1"
"292","34302","35089","2"
"293","22987","22298","3"
"294","173267","174590","1"
"295","19143","20168","1"
"296","20518","19901","1"
"297","10833","14446","2"
"298","69937","71906","2"
"299","20526","15129","2"
"300","89055","90780","2"
"301","1894","3200","1"
"302","100594","78372","1"
"303","2948","3848","2"
"304","22619","31429","2"
"305","63144","65631","1"
"306","153249","154049","1"
"307","1131","291","1"
"308","103797","91989","1"
"309","20110","17102","2"
"310","38000","25000","1"
"311","142428","144105","2"
"312","40810","42653","2"
"313","104701","106134","1"
"314","120298","120822","2"
"315","156362","132280","2"
"316","41322","29091","3"
"317","1464","2084","2"
"318","27879","28870","1"
"319","160432","163916","2"
"320","3858","2690","1"
"321","26476","21393","1"
"322","507062","491956","1"
"323","55607","62893","2"
"324","168382","175646","2"
"325","29332","28577","2"
"326","13668","12647","2"
"327","14867","26665","1"
"328","22500","5000","1"
"329","7184","14845","2"
"330","14811","16262","2"
"331","44338","43048","1"
"332","25265","26354","2"
"333","169661","167199","2"
"334","10237","2795","2"
"335","104978","105924","1"
"336","192586","197967","1"
"337","9551","12081","2"
"338","199","199","2"
"339","70119","68536","2"
"340","212601","177946","2"
"341","91894","71732","2"
"342","48123","49537","2"
"343","159760","162189","1"
"344","9210","8485","1"
"345","234752","233036","1"
"346","61807","62499","1"
"347","51044","50231","1"
"348","77024","73281","2"
"349","350","350","2"
"350","83831","85586","2"
"351","122923","124653","2"
"352","37304","33304","2"
"353","146433","107604","2"
"354","46122","1260","1"
"355","38564","38246","1"
"356","96304","98007","1"
"357","156786","179","2"
"358","78129","28202","2"
"359","40034","36549","2"
"360","71034","69329","2"
"361","23974","24131","2"
"362","819","18163","1"
"363","50927","39883","1"
"364","152510","151651","1"
"365","1689","8638","1"
"366","20807","99860","2"
"367","30141","131255","2"
"368","208459","206331","1"
"369","212795","211043","2"
"370","28114","28006","2"
"371","59372","49677","1"
"372","6160","3274","1"
"373","2927","2790","1"
"374","29295","30321","1"
"375","4158","2682","1"
"376","27199","28358","2"
"377","50893","28527","2"
"378","66759","68200","1"
"379","600","300","1"
"380","44930","137101","1"
"381","131367","146193","2"
"382","41264","41799","2"
"383","77604","73317","1"
"384","2491","1709","1"
"385","177554","180633","1"
"386","6865","15111","1"
"387","93768","91523","1"
"388","396","1648","1"
"389","16426","6088","1"
"390","28703","26622","1"
"391","98560","100980","2"
"392","28304","17616","2"
"393","8574","9434","1"
"394","508","672","1"
"395","203183","202961","2"
"396","16440","20417","2"
"397","15912","17272","1"
"398","20344","21705","1"
"399","23132","22474","1"
"400","19161","20544","1"
"401","396","396","2"
"402","42238","38741","2"
"403","21507","13207","1"
"404","1261","1261","1"
"405","240","240","2"
"406","20223","52962","2"
"407","29509","30741","2"
"408","18355","20259","2"
"409","94265","53376","1"
"410","68739","67629","1"
"411","13917","16695","1"
"412","10250","8558","2"
"413","93844","97708","1"
"414","16496","17522","1"
"415","1210","820","2"
"416","111496","112133","1"
"417","67374","69489","2"
"418","1692","13250","2"
"419","18649","18066","2"
"420","160837","156839","1"
"421","18763","14410","2"
"422","34549","18552","2"
"423","97538","49187","3"
"424","4073","6394","2"
"425","53849","55030","1"
"426","2411","3059","2"
"427","480","1675","2"
"428","92007","87939","1"
"429","3257","4166","2"
"430","92638","90905","1"
"431","399","0","2"
"432","28778","28039","1"
"433","30092","30486","2"
"434","12339","10138","1"
"435","50620","43220","2"
"436","2403","7357","2"
"437","52437","50473","2"
"438","4657","6068","1"
"439","50715","51073","1"
"440","35285","36714","2"
"441","37850","68187","1"
"442","5233","5393","1"
"443","65299","74565","2"
"444","17208","18419","2"
"445","57192","58472","1"
"446","5780","12006","2"
"447","640","2113","2"
"448","631","2790","1"
"449","108351","111201","2"
"450","834","155","2"
"451","7244","8472","2"
"452","13141","14526","2"
"453","7071","401","2"
"454","35429","30626","2"
"455","18751","5706","1"
"456","55788","8360","2"
"457","49809","50364","2"
"458","10900","10478","2"
"459","3128","5156","2"
"460","3367","4641","1"
"461","279610","282024","1"
"462","475","475","2"
"463","5994","32223","2"
"464","5197","6015","2"
"465","7797","2687","1"
"466","35785","29155","2"
"467","1433","3746","2"
"468","77766","77954","2"
"469","50300","50898","2"
"470","14603","15661","2"
"471","8817","23634","2"
"472","131575","130931","2"
"473","5841","23194","1"
"474","30341","25981","1"
"475","83255","83912","2"
"476","34976","6018","1"
"477","48747","45955","1"
"478","56700","57875","2"
"479","144678","140804","1"
